ID,revolutions,humidity,vibration
1,93.744,73.999,18.0
2,93.74,73.999,18.0
4,93.732,73.998,18.0
5,93.729,73.998,18.0
7,93.721,73.997,18.01
9,93.713,73.996,18.01
10,93.709,73.996,18.01
11,93.705,73.996,18.0
12,93.702,73.995,18.01
13,93.698,73.995,18.01
14,93.694,73.995,18.01
16,93.686,73.994,18.02
17,93.682,73.994,18.02
18,93.678,73.993,18.02
19,93.675,73.993,18.02
20,93.671,73.993,18.02
22,93.663,73.992,18.02
23,93.659,73.992,18.02
24,93.655,73.992,18.02
25,93.651,73.991,18.02
29,93.636,73.99,18.03
30,93.632,73.99,18.03
31,93.628,73.989,18.0
32,93.624,73.989,18.03
33,93.621,73.989,18.03
34,93.617,73.988,18.03
35,93.613,73.988,18.03
36,93.609,73.988,18.04
38,93.601,73.987,18.04
40,93.594,73.986,18.04
41,93.59,73.986,18.0
42,93.586,73.986,18.04
43,93.582,73.985,18.04
44,93.578,73.985,18.04
45,93.574,73.985,18.04
46,93.57,73.984,18.05
47,93.567,73.984,18.05
48,93.563,73.984,18.05
49,93.559,73.983,18.05
50,93.555,73.983,18.05
52,93.547,73.982,18.05
53,93.543,73.982,18.05
54,93.54,73.982,18.05
55,93.536,73.981,18.05
56,93.532,73.981,18.06
57,93.528,73.981,18.06
58,93.524,73.98,18.06
59,93.52,73.98,18.06
60,93.516,73.98,18.06
61,93.513,73.979,18.0
62,93.509,73.979,18.06
63,93.505,73.979,18.06
66,93.493,73.978,18.07
67,93.489,73.977,18.07
68,93.486,73.977,18.07
69,93.482,73.977,18.07
70,93.478,73.977,18.07
71,93.474,73.976,18.0
72,93.47,73.976,18.07
73,93.466,73.976,18.07
74,93.462,73.975,18.07
76,93.455,73.975,18.08
78,93.447,73.974,18.08
79,93.443,73.974,18.08
80,93.439,73.973,18.08
81,93.435,73.973,18.0
82,93.432,73.973,18.08
83,93.428,73.972,18.08
84,93.424,73.972,18.08
85,93.42,73.972,18.08
86,93.416,73.971,18.09
87,93.412,73.971,18.09
89,93.404,73.97,18.09
90,93.401,73.97,18.09
92,93.393,73.969,18.09
93,93.389,73.969,18.09
94,93.385,73.969,18.09
95,93.381,73.968,18.09
97,93.374,73.968,18.1
99,93.366,73.967,18.1
100,93.362,73.967,18.1
101,93.358,73.966,18.0
102,93.354,73.966,18.1
103,93.35,73.966,18.1
104,93.347,73.965,18.1
105,93.343,73.965,18.1
106,93.339,73.965,18.11
107,93.335,73.964,18.11
108,93.331,73.964,18.11
109,93.327,73.964,18.11
111,93.32,73.963,18.0
113,93.312,73.962,18.11
114,93.308,73.962,18.11
115,93.304,73.962,18.11
116,93.3,73.962,18.12
117,93.296,73.961,18.12
119,93.289,73.961,18.12
122,93.277,73.96,18.12
123,93.273,73.959,18.12
124,93.269,73.959,18.12
126,93.262,73.958,18.13
127,93.258,73.958,18.13
128,93.254,73.958,18.13
129,93.25,73.957,18.13
130,93.246,73.957,18.13
131,93.242,73.957,18.13
132,93.239,73.956,18.13
133,93.235,73.956,18.13
134,93.231,73.956,18.13
135,93.227,73.955,18.13
136,93.223,73.955,18.14
138,93.215,73.954,18.14
139,93.212,73.954,18.14
140,93.208,73.954,18.14
142,93.2,73.953,18.14
143,93.196,73.953,18.14
145,93.188,73.952,18.14
146,93.185,73.952,18.15
147,93.181,73.951,18.15
148,93.177,73.951,18.15
149,93.173,73.951,18.15
150,93.169,73.95,18.15
151,93.165,73.95,18.15
152,93.161,73.95,18.15
154,93.154,73.949,18.15
155,93.15,73.949,18.15
160,93.131,73.947,18.16
161,93.127,73.947,18.16
163,93.119,73.946,18.16
164,93.115,73.946,18.16
166,93.107,73.945,18.17
167,93.104,73.945,18.17
169,93.096,73.944,18.17
170,93.092,73.944,18.17
172,93.084,73.943,18.17
173,93.08,73.943,18.17
174,93.077,73.943,18.17
175,93.073,73.942,18.17
